subject_id,trial_name,known_learnrelquest,pair_learnrelquest,trial_ind_learnrelquest,rt_learnrelquest,response_learnrelquest,acc_learnrelquest,trial_index,type
Qt3aorl8n8vprd1i5dlc52q74Q,learn_relquest,0.0,"[0, 5]",0.0,2.284,1,1.0,101,first
Qt3aorl8n8vprd1i5dlc52q74Q,learn_relquest,0.0,"[5, 0]",1.0,2.669,1,1.0,102,first
Qt3aorl8n8vprd1i5dlc52q74Q,learn_relquest,0.0,"[3, 4]",2.0,2.037,0,0.0,103,first
Qt3aorl8n8vprd1i5dlc52q74Q,learn_relquest,1.0,"[3, 5]",3.0,7.933,0,1.0,104,first
Qt3aorl8n8vprd1i5dlc52q74Q,learn_relquest,1.0,"[7, 1]",4.0,2.437,0,1.0,105,first
Qt3aorl8n8vprd1i5dlc52q74Q,learn_relquest,1.0,"[2, 6]",5.0,2.021,0,1.0,106,first
Qt3aorl8n8vprd1i5dlc52q74Q,learn_relquest,1.0,"[0, 7]",6.0,1.42,0,1.0,107,first
Qt3aorl8n8vprd1i5dlc52q74Q,learn_relquest,0.0,"[4, 0]",7.0,1.125,1,1.0,108,first
Qt3aorl8n8vprd1i5dlc52q74Q,learn_relquest,1.0,"[1, 4]",8.0,1.565,0,1.0,109,first
Qt3aorl8n8vprd1i5dlc52q74Q,learn_relquest,1.0,"[4, 1]",9.0,1.215,0,1.0,110,first
Qt3aorl8n8vprd1i5dlc52q74Q,learn_relquest,1.0,"[7, 0]",10.0,1.385,0,1.0,111,first
Qt3aorl8n8vprd1i5dlc52q74Q,learn_relquest,0.0,"[7, 5]",11.0,2.805,0,0.0,112,first
Qt3aorl8n8vprd1i5dlc52q74Q,learn_relquest,0.0,"[3, 6]",12.0,1.853,0,0.0,113,first
Qt3aorl8n8vprd1i5dlc52q74Q,learn_relquest,1.0,"[6, 2]",13.0,1.437,0,1.0,114,first
Qt3aorl8n8vprd1i5dlc52q74Q,learn_relquest,0.0,"[2, 3]",14.0,1.308,1,1.0,115,first
Qt3aorl8n8vprd1i5dlc52q74Q,learn_relquest,0.0,"[3, 7]",15.0,1.533,1,1.0,116,first
Qt3aorl8n8vprd1i5dlc52q74Q,learn_relquest,1.0,"[6, 5]",16.0,1.133,0,1.0,117,first
Qt3aorl8n8vprd1i5dlc52q74Q,learn_relquest,0.0,"[4, 7]",17.0,1.733,0,0.0,118,first
Qt3aorl8n8vprd1i5dlc52q74Q,learn_relquest,1.0,"[5, 3]",18.0,3.004,1,0.0,119,first
Qt3aorl8n8vprd1i5dlc52q74Q,learn_relquest,0.0,"[7, 2]",19.0,2.445,0,0.0,120,first
Qt3aorl8n8vprd1i5dlc52q74Q,learn_relquest,1.0,"[1, 7]",20.0,1.948,0,1.0,121,first
Qt3aorl8n8vprd1i5dlc52q74Q,learn_relquest,1.0,"[6, 7]",21.0,2.164,1,0.0,122,first
