subject_id,trial_name,known_learnrelquest,pair_learnrelquest,trial_ind_learnrelquest,rt_learnrelquest,response_learnrelquest,acc_learnrelquest,trial_index,type
Qezcwpkbg4ltoh1iznaextib5Q,learn_relquest,0.0,"[1, 3]",16.0,1.098,0,0.0,229,second
Qezcwpkbg4ltoh1iznaextib5Q,learn_relquest,1.0,"[5, 3]",17.0,0.821,0,1.0,230,second
Qezcwpkbg4ltoh1iznaextib5Q,learn_relquest,0.0,"[3, 2]",18.0,1.364,0,0.0,231,second
Qezcwpkbg4ltoh1iznaextib5Q,learn_relquest,1.0,"[4, 1]",19.0,0.967,0,1.0,232,second
Qezcwpkbg4ltoh1iznaextib5Q,learn_relquest,1.0,"[6, 7]",20.0,0.999,0,1.0,233,second
Qezcwpkbg4ltoh1iznaextib5Q,learn_relquest,1.0,"[6, 2]",21.0,0.799,0,1.0,234,second
Qezcwpkbg4ltoh1iznaextib5Q,learn_relquest,1.0,"[3, 5]",22.0,0.881,0,1.0,235,second
Qezcwpkbg4ltoh1iznaextib5Q,learn_relquest,1.0,"[1, 7]",23.0,1.148,0,1.0,236,second
Qezcwpkbg4ltoh1iznaextib5Q,learn_relquest,1.0,"[2, 6]",24.0,1.036,0,1.0,237,second
Qezcwpkbg4ltoh1iznaextib5Q,learn_relquest,0.0,"[0, 6]",25.0,2.249,0,0.0,238,second
Qezcwpkbg4ltoh1iznaextib5Q,learn_relquest,1.0,"[1, 4]",26.0,0.914,0,1.0,239,second
Qezcwpkbg4ltoh1iznaextib5Q,learn_relquest,1.0,"[0, 7]",27.0,1.283,0,1.0,240,second
Qezcwpkbg4ltoh1iznaextib5Q,learn_relquest,0.0,"[0, 5]",0.0,2.199,0,0.0,327,third
Qezcwpkbg4ltoh1iznaextib5Q,learn_relquest,1.0,"[1, 7]",1.0,5.904,0,1.0,328,third
Qezcwpkbg4ltoh1iznaextib5Q,learn_relquest,1.0,"[7, 6]",2.0,0.844,0,1.0,329,third
Qezcwpkbg4ltoh1iznaextib5Q,learn_relquest,0.0,"[2, 0]",3.0,1.416,1,1.0,330,third
Qezcwpkbg4ltoh1iznaextib5Q,learn_relquest,0.0,"[6, 4]",4.0,1.451,0,0.0,331,third
