graph_pos,corr_comb,spd-wspd,spd-eucd,wspd-eucd
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (330, 330), (440, 110))",0.43939290947996895,0.9480148991455616,0.1514047193393574,0.21875910995498796
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (330, 330), (440, 220))",0.40693074768936893,0.95012661621872,0.08566560761240878,0.18500001923697812
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (330, 330), (550, 110))",0.4428649516157263,0.9277895230183788,0.18345508579597555,0.2173502460328245
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (330, 330), (660, 110))",0.44229822868870056,0.9145193829473556,0.213638602441703,0.19873670067704305
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (330, 440), (440, 110))",0.3623679403778493,0.9114983503280706,0.08887443114377354,0.08673103966170372
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (330, 440), (440, 220))",0.3561656152760768,0.9327014676551938,0.0419443063794419,0.09385107179359466
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (330, 440), (550, 110))",0.3685567391661492,0.9107739345576943,0.11312588105459459,0.08177040188615876
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (330, 440), (550, 220))",0.3494293584732749,0.8939477609739277,0.08031509588113082,0.07402521856476624
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (330, 440), (660, 110))",0.3443020339199169,0.8676218769427132,0.11309440035799097,0.05218982445904658
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (330, 440), (660, 220))",0.35469940211856144,0.856416273558292,0.11737287704240425,0.09030905575498795
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (330, 440), (770, 220))",0.34440925013744333,0.8476397762094302,0.11737287704240425,0.06821509716049548
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (440, 220), (550, 110))",0.49736247088031743,0.9457264426133416,0.21467685371620585,0.33168411631140493
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (440, 330), (550, 110))",0.48700100093586873,0.936590085877397,0.22292156173397346,0.30149135519623566
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (440, 330), (550, 220))",0.45797038230033693,0.9247732220284951,0.16129235759977534,0.2878455672727404
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (440, 330), (660, 110))",0.47808545822377524,0.9110904437450156,0.23331965278334735,0.28984627814296265
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (440, 330), (660, 220))",0.4827605954004694,0.9043329046719519,0.2271264920609011,0.3168223894685551
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (440, 440), (550, 110))",0.47717661293304925,0.9289216639860643,0.23829819962693505,0.2643099751861484
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (440, 440), (550, 220))",0.46631688256211734,0.9368466507598637,0.19763812916612392,0.26446586776036435
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (440, 440), (660, 110))",0.4701661023530852,0.9187637488954405,0.25130090326046195,0.24043365490335308
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (440, 440), (660, 220))",0.4644915867728953,0.8952782573160375,0.2189685925666075,0.27922791043604084
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (440, 440), (770, 220))",0.4640120953967572,0.8822622017419106,0.255569888027061,0.25420419642130004
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (550, 220), (660, 110))",0.5036400463276794,0.9202427959560958,0.2266371276883947,0.364040215338548
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (550, 330), (660, 110))",0.5285124007266324,0.9320627621994398,0.26843220815766766,0.38504223182278985
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (550, 330), (660, 220))",0.49698877849595763,0.9004221818893491,0.22677930907339366,0.36376484452513
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (550, 330), (770, 220))",0.5167903897412368,0.8998055809939948,0.2705263873652238,0.3800392008644917
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (550, 440), (660, 110))",0.5239906186571582,0.9323180868891213,0.291308342955565,0.34834542612678815
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (550, 440), (660, 220))",0.5163905776610737,0.9320627621994398,0.2636772174583034,0.35343175332547766
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (550, 440), (770, 220))",0.5024444159155195,0.8952782573160375,0.2718426755985274,0.34021231483199355
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (660, 330), (770, 220))",0.5030461135714485,0.8958917558169499,0.23328739735321002,0.3799591875441857
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 550), (660, 440), (770, 220))",0.5314917687858004,0.9320627621994398,0.2728083580260878,0.38960418613187364
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 660), (330, 330), (440, 110))",0.39721029705503574,0.949629104897292,0.09194888072626543,0.1500529055415499
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 660), (330, 330), (440, 220))",0.36125340320277427,0.9543948357589912,0.03211091938421126,0.09725445446512034
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 660), (330, 330), (550, 110))",0.40867907545784393,0.9276624546725089,0.1301880182062275,0.16818675349479528
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 660), (330, 330), (660, 110))",0.42872904880742085,0.9227554781575713,0.17932900976109456,0.18410265850359656
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 660), (330, 440), (440, 110))",0.3366335398293687,0.9279166435948495,0.04018415212333521,0.041799823769921474
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 660), (330, 440), (440, 220))",0.3311546717617712,0.9465288092074471,0.028066176728544678,0.018869029349321803
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 660), (330, 440), (550, 110))",0.3437377897257563,0.9102413380192514,0.07919533711451039,0.04177669404350703
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 660), (330, 440), (550, 220))",0.3256250014182946,0.9279166435948495,0.020949967941600034,0.028008392718434198
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 660), (330, 440), (660, 110))",0.3308727046444461,0.8972217168908666,0.07705877226429876,0.018337624778173047
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 660), (330, 440), (660, 220))",0.3366915711899498,0.9015907595636351,0.07704808079393662,0.03143587321227763
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 660), (330, 440), (770, 220))",0.3244357478514209,0.8759940737467609,0.07704808079393662,0.020265089013565052
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 660), (330, 550), (440, 110))",0.34528986586762905,0.8981078346147607,0.0274904677393894,0.11027129524873697
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 660), (330, 550), (440, 220))",0.3549164391018848,0.9068449151161945,0.05872962933607164,0.09917477285338826
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 660), (330, 550), (550, 110))",0.3264550867878424,0.8723901705663789,0.002421440163573159,0.10455364963357515
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 660), (330, 550), (550, 220))",0.32617238785473834,0.8926094378098888,0.00455990378704513,0.08134782196728106
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 660), (330, 550), (660, 110))",0.3213617705093094,0.8717927657366346,0.002421440163573159,0.08987110562772062
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 660), (330, 550), (660, 220))",0.3180864109833701,0.8760371316847194,0.002421104202397269,0.07580099706299354
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 660), (330, 550), (770, 220))",0.31733223286090817,0.8638699493002093,0.0018514326253626179,0.08627531665715264
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 660), (330, 660), (440, 110))",0.33947784007908033,0.8555470491084322,0.007976508774123349,0.15490996235468552
"((110, 330), (110, 440), (110, 550), (110, 660), (220, 330), (220, 660), (330, 660), (440, 220))",0.34973521839101657,0.8852535438691417,0.02039974904263181,0.1435523622612762
"((110, 330), (110, 440), (220, 330), (440, 110), (440, 440), (550, 110), (550, 220), (770, 440))",0.25486300112479093,0.7619008608627672,0.0024134154847891462,0.00027472702681649206
"((110, 330), (110, 440), (220, 330), (550, 110), (550, 440), (660, 220), (660, 330), (770, 440))",0.25238058805887364,0.7330612765764495,0.0053939499049959925,0.01868653769517542
"((110, 330), (110, 440), (220, 550), (440, 770), (550, 550), (550, 770), (660, 660), (770, 550))",0.24895997387417348,0.7330612765764495,0.011209104503280509,0.002609540542790467
"((110, 330), (110, 440), (330, 220), (550, 110), (660, 550), (770, 330), (770, 440), (770, 550))",0.2539943336817356,0.7464424914031944,0.004826165704470097,0.010714343937542233
"((110, 330), (110, 440), (330, 330), (440, 110), (440, 440), (550, 220), (660, 330), (770, 440))",0.2535992171212145,0.7413926172405947,0.007967668085594555,0.01143736603745443
"((110, 330), (110, 440), (330, 550), (440, 770), (550, 550), (550, 660), (660, 660), (770, 550))",0.2555155348078609,0.7240888307432807,0.022347211499459715,0.02011056218084214
"((110, 330), (110, 440), (330, 550), (440, 770), (550, 550), (550, 770), (660, 660), (770, 550))",0.24962690998106393,0.7240888307432807,0.0022705110583798645,0.02252138814153131
"((110, 330), (110, 550), (220, 330), (550, 110), (550, 440), (660, 220), (770, 330), (770, 440))",0.2524389333331606,0.7508151925542447,0.0058149816225908126,0.0006866258226462316
"((110, 330), (110, 550), (220, 330), (550, 110), (660, 440), (770, 220), (770, 330), (770, 440))",0.25476218687773083,0.7427067242439506,0.012640168502762008,0.008939667886479903
"((110, 330), (220, 220), (220, 440), (220, 770), (330, 440), (330, 770), (440, 770), (660, 660))",0.25396894957695443,0.7595625467788327,0.00028385298319761996,0.0020604489688328116
"((110, 330), (220, 330), (220, 440), (220, 660), (330, 330), (330, 660), (440, 660), (770, 660))",0.2551643703694295,0.7479840643771926,0.009245626119195178,0.008263420611900746
