graph_poss,eucd_congru_med,eucd_inconr_med,eucd_ic_med_diff,wspd_congru_med,wspd_inconr_med,wspd_ic_med_diff,comb_congru_med,comb_inconr_med,comb_ic_med_diff,adj_m
"((110, 660), (220, 440), (550, 220), (550, 330), (660, 110), (660, 330), (770, 330), (770, 440))",425.0,-182.0,608.0,366.0,0.0,366.0,395.0,-91.0,487.0,"[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]"
"((110, 660), (220, 550), (550, 220), (660, 220), (660, 330), (770, 220), (770, 330), (770, 440))",485.0,-120.0,606.0,366.0,58.0,308.0,426.0,-31.0,457.0,"[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]"
"((110, 660), (220, 550), (550, 440), (660, 220), (660, 330), (770, 220), (770, 330), (770, 440))",485.0,-155.0,641.0,,,,,,,"[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]"
"((220, 220), (220, 770), (550, 110), (550, 220), (550, 550), (660, 220), (770, 220), (770, 330))",,,,278.0,-131.0,410.0,315.0,-192.0,507.0,"[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]"
"((220, 330), (220, 770), (330, 110), (330, 220), (330, 550), (440, 220), (550, 220), (660, 220))",,,,176.0,-194.0,370.0,,,,"[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]"
"((220, 330), (220, 770), (330, 110), (440, 110), (440, 550), (550, 110), (550, 220), (660, 220))",,,,173.0,-150.0,324.0,,,,"[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]"
"((220, 330), (220, 770), (330, 110), (440, 110), (440, 660), (550, 110), (550, 220), (660, 220))",,,,269.0,-194.0,463.0,289.0,-215.0,505.0,"[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]"
"((220, 330), (220, 770), (440, 110), (550, 110), (550, 550), (660, 110), (660, 220), (770, 220))",,,,216.0,-115.0,332.0,280.0,-162.0,442.0,"[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]"
"((220, 330), (330, 770), (440, 110), (550, 110), (550, 440), (660, 110), (660, 220), (770, 220))",,,,173.0,-122.0,296.0,,,,"[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]"
"((220, 440), (330, 770), (440, 110), (550, 110), (550, 440), (660, 110), (660, 220), (770, 220))",390.0,-219.0,609.0,,,,282.0,-148.0,431.0,"[[0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 1, 0], [0, 0, 1, 0, 0, 1, 0, 1], [1, 1, 0, 0, 0, 0, 1, 0]]"
