subject_id,group_name,nb_learn_passes,nb_learn_blocks,type,nodepos_learnanim,trial_ind,relation_learnanim,learnpass_ind,nodes_clicked_learnanim,rt_learnanim,trial_name,nodepos_drawtest,relation_drawtest,nb_attempts_drawtest,acc_drawtest,attempts_drawtest,attemptout_drawtest,rt_drawtest
Q1gq5kxl69j044m8bx2fry24aQ,rotational,3.0,5.0,fourth,"[[497.84826817986794, 203.8079139529716], [316.53415603324567, 79.2077825867404], [735.8763611068813, 634.3222888320563], [645.2193050335702, 572.0222231489407], [401.60512720383224, 538.0791478560205], [520.6191736673389, 753.336335295563], [458.31910798422336, 843.9933913688741], [367.66205191091217, 781.6933256857585]]",0.0,"[6, 7]",0.6678979286814181,"[1, 0, 4, 6]",5.7119000000059605,draw_test,"[[207.48748657346806, 386.06502653831654], [71.23335378261137, 558.7925903415833], [652.7233159584482, 176.86403172263965], [584.5962495630199, 263.22781362427304], [534.7058986737965, 504.0824438229682], [757.3238133662867, 399.4819464151297], [843.68759526792, 467.6090128105581], [775.5605288724917, 553.9727947121914]]","[6, 7]",1.0,1.0,[],12.0,3.4102000000029804
Q1gq5kxl69j044m8bx2fry24aQ,rotational,3.0,5.0,second,"[[418.20189449407223, 698.7747585391933], [607.2073708208253, 811.3666317738864], [152.78281507525924, 284.58553574305404], [247.28555323863577, 340.88147236040055], [492.58696618273535, 358.97060743171716], [359.87742647332885, 151.87599603364754], [416.1733630906754, 57.373257870271004], [510.67610125405196, 113.66919448761755]]",0.0,"[6, 7]",1.5465026832001931,"[1, 0, 4, 3, 2, 5, 6]",8.129100000008942,draw_test,"[[344.4425191715842, 222.49699289644843], [124.50743590187267, 227.84106878897157], [789.6567616035304, 431.74392438111374], [679.6892199686747, 434.4159623273753], [462.42617464522465, 549.7275798547541], [685.0332958611978, 654.3510455970868], [687.7053338074594, 764.3185872319426], [577.7377921726036, 766.9906251782043]]","[6, 7]",1.0,1.0,[],12.0,5.46890000000596
Q1gq5kxl69j044m8bx2fry24aQ,rotational,3.0,5.0,fifth,"[[413.23518508117303, 201.91060404768527], [200.80037803186747, 144.71398916599563], [780.9081842980945, 528.7386408603701], [674.6907807734417, 500.1403334195253], [433.6576662832913, 549.1611220624884], [617.4941658917521, 712.5751404688308], [588.8958584509073, 818.7925439934836], [482.6784549262545, 790.1942365526388]]",0.0,"[6, 7]",1.956604559770585,"[1, 0, 4, 3, 2, 5, 6]",8.07,draw_test,"[[443.9014000311956, 199.27543582963295], [240.07259007357607, 116.48765755735036], [768.7712416741521, 568.6798023318177], [666.8568366953423, 527.2859131956764], [421.63413760158153, 546.4125399022035], [584.0690584230597, 731.1147231532959], [542.6751692869184, 833.0291281321056], [440.7607643081087, 791.6352389959644]]","[6, 7]",1.0,1.0,[],12.0,3.7701000000089406
Q1gq5kxl69j044m8bx2fry24aQ,rotational,3.0,5.0,second,"[[470.90309901157934, 699.9261099839553], [679.2676354733104, 770.5251180866754], [124.7730341908375, 350.36355731678384], [228.955302421703, 385.663061368144], [472.61934293479413, 352.07980123999863], [299.55431052442316, 177.2985249064129], [334.8538145757833, 73.11625667554736], [439.0360828066488, 108.41576072690745]]",0.0,"[6, 7]",2.228410474816281,"[1, 0, 4, 3, 2, 5, 6]",9.2535,draw_test,"[[511.4376911960457, 206.8428284000258], [337.31807789484236, 72.37216147285014], [725.2062508712768, 649.9037755555804], [638.1464442206751, 582.6684420919926], [396.7914974558839, 535.2575818154186], [503.67577729349944, 756.7880553931959], [436.4404438299116, 843.8478620437975], [349.38063717930993, 776.6125285802098]]","[6, 7]",1.0,1.0,[],12.0,3.4952000000029804
Q1gq5kxl69j044m8bx2fry24aQ,rotational,3.0,5.0,third,"[[688.8213954680789, 373.42101419658604], [710.7478504544857, 154.51639896033964], [426.06387025901887, 789.303789682672], [437.0270977522223, 679.8514820645488], [349.50124512050587, 449.98363933509904], [218.12248251597583, 657.925027078142], [108.67017489785268, 646.9617995849386], [119.63340239105608, 537.5094919668154]]",0.0,"[6, 7]",2.6193520961578782,"[1, 0, 4, 3, 2, 5, 6]",7.16270000000298,draw_test,"[[599.4595254132013, 248.60027243498905], [489.7184021111484, 57.925455386686565], [628.2669549690045, 739.6910298336469], [573.3963933179781, 644.3536213094957], [368.317861491774, 508.54936591221957], [382.72157626967567, 754.0947446115485], [287.3841677455244, 808.965306262575], [232.51360609449796, 713.6278977384238]]","[6, 7]",1.0,1.0,[],12.0,3.001699999988079
Q1gq5kxl69j044m8bx2fry24aQ,rotational,3.0,5.0,third,"[[695.8925469362945, 400.6354847974559], [742.1849406302491, 185.5610458557632], [388.2333206066925, 784.4919689868867], [411.3795174536698, 676.9547495160404], [350.13469167677806, 438.7341137273703], [196.30507851197711, 630.6623558220857], [88.76785904113078, 607.5161589751084], [111.9140558881081, 499.97893950426203]]",0.0,"[6, 7]",2.6824660213911953,"[1, 0, 4, 3, 2, 5, 6]",11.78659999999404,draw_test,"[[611.8646382798768, 258.4279799278489], [514.3682603229045, 61.2112050701528], [609.6406193361252, 750.3579076002135], [560.892430357639, 651.7495201713655], [364.78766497181863, 503.2809342921554], [363.6756554999429, 749.2458981283377], [265.06726807109476, 797.9940871068238], [216.31907909260866, 699.3856996779757]]","[6, 7]",1.0,1.0,[],12.0,3.4028999999910594
Q1gq5kxl69j044m8bx2fry24aQ,rotational,3.0,5.0,first,"[[209.32636431429268, 379.4578063438381], [68.40021194406455, 548.3951307518068], [660.1159934627176, 182.50930989812895], [589.6529172776036, 266.9779721021133], [533.1954271113598, 506.37837269519605], [758.5902416855723, 407.9041244723414], [843.0589038895566, 478.3672006574555], [772.5958277044425, 562.8358628614399]]",0.0,"[6, 7]",2.9933302790748932,"[1, 0, 4, 6]",8.26790000000596,draw_test,"[[662.704748705433, 317.12152214087257], [630.2063940448237, 99.53508657019358], [510.11502245597245, 784.7927479428399], [493.8658451256678, 675.9995301575004], [352.574272679719, 474.662271917126], [276.2794095549888, 708.4978848181097], [167.4861917696493, 724.7470621484143], [151.23701443934468, 615.9538443630747]]","[6, 7]",13.0,0.0,"[[5, 7], [3, 2], [3, 5], [5, 6], [1, 0], [4, 0], [0, 2], [4, 7], [4, 6], [4, 5], [4, 3], [4, 2]]",12.0,63.1315
Q1gq5kxl69j044m8bx2fry24aQ,rotational,3.0,5.0,third,"[[434.7318879822235, 199.666452996382], [228.01048984590943, 124.39186530194473], [772.9000965604143, 556.9370265215706], [669.5393974922573, 519.299732674352], [425.1807055087246, 547.3858440480717], [594.2648097978201, 726.021130810666], [556.6275159506015, 829.381829878823], [453.2668168824444, 791.7445360316044]]",0.0,"[6, 7]",3.005748269450531,"[1, 0, 4, 3, 2, 5, 6]",8.64489999999106,draw_test,"[[664.338389940944, 319.7730650075652], [634.5444577960086, 101.79985195755995], [505.95304118080935, 785.5134232525111], [491.0560751083417, 676.5268167275085], [352.2755364384037, 473.45056974997084], [273.08286205833645, 706.3207488724438], [164.09625553333382, 721.2177149449114], [149.19928946086617, 612.2311084199088]]","[6, 7]",1.0,1.0,[],12.0,3.1029000000059606
Q1gq5kxl69j044m8bx2fry24aQ,rotational,3.0,5.0,fourth,"[[510.4561918369271, 206.59694153816255], [335.7954837644854, 72.8298414887359], [726.0105079323837, 648.7918497094574], [638.6801538961629, 581.9082996847442], [397.1358957990079, 535.4715536715383], [504.91305384673626, 756.5690077571858], [438.029503822023, 843.8993617934066], [350.69914978580215, 777.0158117686933]]",0.0,"[6, 7]",3.085286164073092,"[1, 0, 4, 6]",6.31229999999702,draw_test,"[[674.0078237608654, 337.21482857254205], [661.626940589318, 117.56348272669368], [479.1182442581119, 788.8984034357863], [472.92780267233815, 679.0727305128621], [350.7212465778665, 465.6118262527874], [253.27645682648978, 691.4536136844094], [143.4507839035656, 697.6440552701832], [137.26034231779187, 587.818382347259]]","[6, 7]",1.0,1.0,[],12.0,3.51879999999702
Q1gq5kxl69j044m8bx2fry24aQ,rotational,3.0,5.0,second,"[[455.5655655614314, 199.26303726817338], [255.8064579003991, 107.08766687852923], [762.908410493852, 583.372885708494], [663.0288566633358, 537.285200513672], [417.1820638074814, 544.989383954544], [570.8534862736917, 737.0443081747044], [524.7658010788696, 836.9238620052205], [424.8862472483534, 790.8361768103985]]",0.0,"[6, 7]",4.552163917528866,"[1, 0, 4, 3, 2, 6]",9.91859999999404,draw_test,"[[585.4134300531182, 661.0999833283964], [802.5955384408044, 626.0010973591906], [115.95032730853978, 514.1156468791222], [224.5413815023829, 496.5662038945192], [424.1740469054661, 352.8762637314702], [189.44249553317692, 279.38409550683303], [171.89305254857393, 170.79304131298994], [280.48410674241705, 153.24359832838698]]","[6, 7]",1.0,1.0,[],12.0,6.01159999999404
