subject_id,trial_name,known_learnrelquest,pair_learnrelquest,trial_ind_learnrelquest,rt_learnrelquest,response_learnrelquest,acc_learnrelquest,trial_index,type
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[4, 5]",0.0,3.402,1,1.0,101,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[7, 1]",1.0,2.359,1,0.0,102,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[5, 6]",2.0,2.492,0,1.0,103,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[1, 7]",3.0,1.288,1,0.0,104,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[5, 4]",4.0,3.976,0,0.0,105,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[4, 1]",5.0,2.214,0,1.0,106,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[3, 5]",6.0,1.623,0,1.0,107,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[2, 4]",7.0,3.201,0,0.0,108,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[2, 6]",8.0,2.011,0,1.0,109,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[5, 3]",9.0,1.292,0,1.0,110,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[1, 3]",10.0,3.085,1,1.0,111,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[7, 2]",11.0,1.857,1,1.0,112,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[1, 4]",12.0,4.252,0,1.0,113,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[5, 2]",13.0,2.586,1,1.0,114,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[0, 7]",14.0,1.108,1,0.0,115,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[0, 4]",15.0,6.167,1,1.0,116,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[7, 6]",16.0,3.109,1,0.0,117,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[6, 2]",17.0,6.27,0,1.0,118,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[5, 0]",18.0,9.766,1,1.0,119,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[4, 6]",19.0,1.946,0,0.0,120,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[7, 3]",20.0,1.152,1,1.0,121,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[2, 5]",21.0,2.533,0,0.0,122,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[5, 7]",22.0,1.104,1,1.0,123,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[6, 5]",23.0,2.194,0,1.0,124,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[4, 0]",24.0,1.029,1,1.0,125,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[7, 0]",25.0,1.221,1,0.0,126,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[2, 7]",26.0,0.832,1,1.0,127,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[6, 7]",27.0,0.639,1,0.0,128,first
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[6, 7]",0.0,2.127,1,0.0,217,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[6, 4]",1.0,7.077,1,1.0,218,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[2, 6]",2.0,2.839,0,1.0,219,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[4, 7]",3.0,1.368,1,1.0,220,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[6, 0]",4.0,2.228,1,1.0,221,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[5, 6]",5.0,4.916,0,1.0,222,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[2, 1]",6.0,2.288,1,1.0,223,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[0, 5]",7.0,4.82,1,1.0,224,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[7, 6]",8.0,0.881,1,0.0,225,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[0, 4]",9.0,3.087,1,1.0,226,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[0, 6]",10.0,1.329,1,1.0,227,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[7, 4]",11.0,0.826,1,1.0,228,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[7, 0]",12.0,1.025,1,0.0,229,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[7, 1]",13.0,0.657,1,0.0,230,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[2, 5]",14.0,9.993,1,1.0,231,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[6, 5]",15.0,5.686,1,0.0,232,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[4, 2]",16.0,15.723,1,1.0,233,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[6, 2]",17.0,3.158,0,1.0,234,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[5, 3]",18.0,2.731,0,1.0,235,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[1, 4]",19.0,2.138,0,1.0,236,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[3, 5]",20.0,2.603,0,1.0,237,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[6, 1]",21.0,4.958,1,1.0,238,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[3, 2]",22.0,3.53,1,1.0,239,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[6, 3]",23.0,3.668,1,1.0,240,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[4, 5]",24.0,1.488,1,1.0,241,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[0, 7]",25.0,0.808,1,0.0,242,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[4, 1]",26.0,4.763,1,0.0,243,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[1, 7]",27.0,0.709,1,0.0,244,second
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[5, 3]",0.0,7.9,0,1.0,331,third
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[6, 0]",1.0,2.148,1,1.0,332,third
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[0, 2]",2.0,4.32,1,1.0,333,third
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,1.0,"[6, 2]",3.0,4.716,0,1.0,334,third
Qhc77d4bh03jukv6vv3sr1yc9Q,learn_relquest,0.0,"[7, 2]",4.0,4.165,1,1.0,335,third
