subject_id,group_name,nb_learn_passes,nb_learn_blocks,type,nodepos_learnanim,trial_ind,relation_learnanim,learnpass_ind,trial_name,nodepos_drawtest,relation_drawtest,nb_attempts_drawtest,acc_drawtest,attempts_drawtest,attemptout_drawtest
Q21w28fj9d43m29bpw0c582isQ,rotational,3.0,5.0,second,"[[580.0919371139387, 664.4203532735244], [798.0838686266093, 634.7636879961356], [114.45140881120841, 505.7417523156314], [223.44737456754376, 490.913419676937], [426.61097344152006, 352.26078864321283], [193.79070929015495, 272.92148816426624], [178.96237665146054, 163.9255224079309], [287.9583424077959, 149.0971897692365]]",0.0,"[2, 6]",1.4271176493907,draw_test,"[[318.0978887733863, 236.68841322149885], [100.36477688184954, 268.1890796593308], [785.0647789942916, 391.4201922373717], [676.1982230485233, 407.17052545628763], [474.21544437590256, 547.537747839888], [707.6988894863553, 624.9036373478244], [723.4492227052713, 733.7701932935928], [614.5826667595029, 749.5205265125088]]","[2, 6]",0.0,1.0,[],12.0
Q21w28fj9d43m29bpw0c582isQ,rotational,3.0,5.0,first,"[[674.0312087387528, 337.2612865469303], [661.6958779204259, 117.60737783232895], [479.0479616608053, 788.90443479446], [472.8802962516418, 679.0774804371592], [350.71801107601425, 465.59123713172136], [253.22638753704047, 691.4128112554862], [143.3994331797398, 697.5804766646497], [137.2317677705763, 587.753522307349]]",0.0,"[2, 6]",1.619889076170939,draw_test,"[[361.40727806830375, 215.3698024108296], [141.67233561187544, 204.5737353644398], [790.0810959347705, 456.69687896003745], [680.2136247065564, 451.29884543684256], [455.0806487269332, 550.370249618667], [669.4175576601666, 671.033787893271], [664.0195241369717, 780.901259121485], [554.1520529087575, 775.5032255982901]]","[2, 6]",0.0,1.0,[],12.0
Q21w28fj9d43m29bpw0c582isQ,rotational,3.0,5.0,first,"[[515.0436986791344, 692.2174999089412], [732.6457156319705, 724.6113607170892], [112.23352558161031, 409.82776133980934], [221.03453405802833, 426.02469174388335], [454.8334814149383, 349.61754407561324], [253.4283948661763, 208.4226747910473], [269.62532527025024, 99.62166631462927], [378.42633374666826, 115.81859671870325]]",0.0,"[2, 6]",2.649710852373265,draw_test,"[[605.503961783427, 253.22978408900778], [501.6011674136207, 59.311736135379306], [619.391502569411, 744.968674366071], [567.4401053845079, 648.0096503892568], [366.5782870378874, 506.0429996205314], [373.5220574308794, 751.912444759063], [276.56303345406513, 803.8638419439662], [224.61163626916203, 706.904817967152]]","[2, 6]",13.0,0.0,"[[7, 1], [6, 1], [7, 4], [7, 0], [6, 3], [5, 1], [2, 5], [6, 3], [5, 0], [4, 1], [2, 3], [4, 1], [7, 3]]",12.0
Q21w28fj9d43m29bpw0c582isQ,rotational,3.0,5.0,second,"[[696.2762105937798, 402.58662535140286], [744.2723930396326, 187.88598149902776], [385.58320184969915, 783.9917306103002], [409.5812930726255, 676.6414086841128], [350.22715359229073, 437.9426736088113], [194.8806492202504, 628.64522623826], [87.53032729406286, 604.6471350153336], [111.52841851698923, 497.296813089146]]",0.0,"[2, 6]",3.083813588004599,draw_test,"[[673.8414961983357, 336.88508241752334], [661.1371732522317, 117.25220651211367], [479.61726618513376, 788.8551571744466], [473.2651047120818, 679.0387192217418], [350.744343813273, 465.758004789384], [253.63222880667212, 691.7430421678457], [143.8157908539673, 698.0952036408977], [137.46362938091534, 588.2787656881928]]","[2, 6]",0.0,1.0,[],12.0
Q21w28fj9d43m29bpw0c582isQ,rotational,3.0,5.0,first,"[[525.7478276487897, 210.91368377406195], [359.90815526788197, 66.35503455308589], [712.868523189629, 665.8706545969218], [629.9486869991752, 593.5913299864337], [391.8296900077794, 531.9525169559115], [485.39003777819903, 759.4310023673414], [413.110713167711, 842.3508385577952], [330.1908769772572, 770.0715139473072]]",0.0,"[2, 6]",3.365284492964038,draw_test,"[[696.4526787626414, 403.5126132083307], [745.2554953146231, 188.9938841971005], [384.32831664744793, 783.7472546788094], [408.72972492343877, 676.4878901731944], [350.2731769698053, 437.5677528859734], [194.2109959122085, 627.6850736212127], [86.95163140659342, 603.283665345222], [111.35303968258424, 496.02430083960684]]","[2, 6]",0.0,1.0,[],12.0
Q21w28fj9d43m29bpw0c582isQ,rotational,3.0,5.0,second,"[[594.8086783249729, 245.23074771398285], [480.73024839614834, 57.118781521041626], [634.8535719896807, 735.5331100286899], [577.8143570252685, 641.4771269322193], [369.67994399997326, 510.40437570369033], [389.7023908323272, 755.5555568610439], [295.6464077358566, 812.5947718254561], [238.60719277144432, 718.5387887289855]]",0.0,"[2, 6]",5.130238415747108,draw_test,"[[448.0633277193592, 700.7912464590369], [649.1353512591552, 790.0663345273872], [135.1943687081175, 321.16904678254025], [235.7303804780155, 365.8065908167154], [481.4399480519867, 354.5456671151677], [325.0054685463658, 164.7345672769194], [369.64301258054104, 64.19855550702135], [470.1790243504391, 108.83609954119652]]","[2, 6]",0.0,1.0,[],12.0
Q21w28fj9d43m29bpw0c582isQ,rotational,3.0,5.0,second,"[[462.83855536914206, 700.4699013774579], [668.8198785459384, 777.7466411012334], [128.15264873932483, 339.93509875311025], [231.14331032772304, 378.5734686149981], [475.76300336640725, 352.85954675037544], [308.42005005149866, 172.59214543820167], [347.05841991338644, 69.60148384980349], [450.04908150178466, 108.23985371169128]]",1.0,"[6, 7]",0.22083929353914303,draw_test,"[[203.68093115332766, 497.1902142663952], [155.49023683302246, 711.8472825891665], [514.7193881167093, 116.06677194115775], [490.6240409565567, 223.3953061025434], [549.7618807976371, 462.1477215854673], [705.2811092793281, 271.58600042284866], [812.6096434407137, 295.6813475830012], [788.5142962805611, 403.0098817443868]]","[6, 7]",0.0,1.0,[],12.0
Q21w28fj9d43m29bpw0c582isQ,rotational,3.0,5.0,first,"[[443.5734192084811, 199.28362825828447], [239.63648458933608, 116.76256005054384], [768.9262202390305, 568.2626992929107], [666.957752929458, 527.0021651890404], [421.7602842064427, 546.4495642908722], [584.4366847217174, 730.9390998081855], [543.176150617847, 832.9075671177579], [441.2076833082745, 791.6470330138876]]",1.0,"[6, 7]",2.078791569461405,draw_test,"[[474.50598099225493, 200.40140846629913], [282.28726636943054, 93.38755072465338], [751.929552496258, 606.6478385724151], [655.8201951848458, 553.1409097015922], [410.0945516911985, 542.2364092713586], [548.8063374432, 745.3596243244166], [495.29940857237716, 841.4689816358288], [399.19005126096494, 787.9620527650059]]","[6, 7]",0.0,1.0,[],12.0
Q21w28fj9d43m29bpw0c582isQ,rotational,3.0,5.0,first,"[[437.5653247952843, 700.4902769621073], [634.7234354435973, 798.1052317876236], [140.86405832417466, 308.10225666276176], [239.44311364833118, 356.90973407551996], [485.4087017094023, 355.94563357687974], [337.05806847384747, 159.75162342720697], [385.86554588660556, 61.17256810305051], [484.444601210762, 109.98004551580863]]",1.0,"[6, 7]",2.496453261915372,draw_test,"[[573.6426880855215, 231.79714556636418], [441.3545275694563, 56.01363499931534], [662.4354985506029, 715.652327216527], [596.2914182925704, 627.7605719330027], [376.1115024929808, 518.1211416239864], [420.5079077255216, 760.0487324490679], [332.6161524419971, 826.1928127071004], [266.47207218396454, 738.3010574235759]]","[6, 7]",0.0,1.0,[],12.0
Q21w28fj9d43m29bpw0c582isQ,rotational,3.0,5.0,second,"[[292.1140861915205, 644.8641532474903], [393.6504303971876, 840.0316987189346], [284.20894325163067, 152.99271809893452], [334.9771153544642, 250.5764908346567], [534.0972322958535, 394.9758642032675], [530.1446608259085, 149.04014662898956], [627.7284335616307, 98.27197452615601], [678.4966056644643, 195.85574726187818]]",1.0,"[6, 7]",4.156049486145717,draw_test,"[[656.3780747410988, 592.5064569279493], [843.2007196514073, 476.3285788757281], [166.5549068682605, 638.0395681220831], [259.9662293234147, 579.9506290959725], [388.6999352076127, 370.36142858859705], [143.7883512711936, 393.127984185664], [85.69941224508298, 299.71666173050977], [179.11073470023726, 241.62772270439916]]","[6, 7]",0.0,1.0,[],12.0
